2024-02-10 11:12:33,097 INFO    StreamThr :76289 [internal.py:wandb_internal():86] W&B internal server running at pid: 76289, started at: 2024-02-10 11:12:33.095850
2024-02-10 11:12:33,100 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status
2024-02-10 11:12:33,102 INFO    WriterThread:76289 [datastore.py:open_for_write():87] open: /Users/lihongxuan/Desktop/AIPI/Courses/AIPI540/AIPI-540/classifier/wandb/run-20240210_111229-kclksitw/run-kclksitw.wandb
2024-02-10 11:12:33,104 DEBUG   SenderThread:76289 [sender.py:send():382] send: header
2024-02-10 11:12:33,104 DEBUG   SenderThread:76289 [sender.py:send():382] send: run
2024-02-10 11:12:33,684 INFO    SenderThread:76289 [dir_watcher.py:__init__():211] watching files in: /Users/lihongxuan/Desktop/AIPI/Courses/AIPI540/AIPI-540/classifier/wandb/run-20240210_111229-kclksitw/files
2024-02-10 11:12:33,685 INFO    SenderThread:76289 [sender.py:_start_run_threads():1136] run started: kclksitw with start time 1707581552.168583
2024-02-10 11:12:33,698 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: check_version
2024-02-10 11:12:33,701 DEBUG   SenderThread:76289 [sender.py:send_request():409] send_request: check_version
2024-02-10 11:12:34,155 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: run_start
2024-02-10 11:12:34,155 DEBUG   HandlerThread:76289 [system_info.py:__init__():27] System info init
2024-02-10 11:12:34,155 DEBUG   HandlerThread:76289 [system_info.py:__init__():42] System info init done
2024-02-10 11:12:34,156 INFO    HandlerThread:76289 [system_monitor.py:start():194] Starting system monitor
2024-02-10 11:12:34,156 INFO    SystemMonitor:76289 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-10 11:12:34,156 INFO    HandlerThread:76289 [system_monitor.py:probe():214] Collecting system info
2024-02-10 11:12:34,156 INFO    SystemMonitor:76289 [interfaces.py:start():190] Started cpu monitoring
2024-02-10 11:12:34,156 INFO    SystemMonitor:76289 [interfaces.py:start():190] Started disk monitoring
2024-02-10 11:12:34,158 DEBUG   HandlerThread:76289 [system_info.py:probe():151] Probing system
2024-02-10 11:12:34,158 INFO    SystemMonitor:76289 [interfaces.py:start():190] Started memory monitoring
2024-02-10 11:12:34,158 INFO    SystemMonitor:76289 [interfaces.py:start():190] Started network monitoring
2024-02-10 11:12:34,158 DEBUG   HandlerThread:76289 [system_info.py:_probe_git():136] Probing git
2024-02-10 11:12:34,217 DEBUG   HandlerThread:76289 [system_info.py:_probe_git():144] Probing git done
2024-02-10 11:12:34,218 DEBUG   HandlerThread:76289 [system_info.py:probe():199] Probing system done
2024-02-10 11:12:34,218 DEBUG   HandlerThread:76289 [system_monitor.py:probe():223] {'os': 'macOS-10.16-x86_64-i386-64bit', 'python': '3.9.13', 'heartbeatAt': '2024-02-10T16:12:34.158044', 'startedAt': '2024-02-10T16:12:29.234567', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '<python with no main file>', 'codePathLocal': None, 'git': {'remote': 'git@github.com:h0ngxuanli/AIPI-540.git', 'commit': 'bbd7dd60e984339ed0a447a778a9e4ebbfee8e92'}, 'email': 'kongyiji_is_coding@163.com', 'root': '/Users/lihongxuan/Desktop/AIPI/Courses/AIPI540/AIPI-540', 'host': 'lihongxuandeAir', 'username': 'lihongxuan', 'executable': '/Users/lihongxuan/opt/anaconda3/bin/python', 'cpu_count': 8, 'cpu_count_logical': 8, 'cpu_freq': {'current': 2400, 'min': 2400, 'max': 2400}, 'cpu_freq_per_core': [{'current': 2400, 'min': 2400, 'max': 2400}], 'disk': {'/': {'total': 460.4317207336426, 'used': 451.65595626831055}}, 'memory': {'total': 16.0}}
2024-02-10 11:12:34,218 INFO    HandlerThread:76289 [system_monitor.py:probe():224] Finished collecting system info
2024-02-10 11:12:34,218 INFO    HandlerThread:76289 [system_monitor.py:probe():227] Publishing system info
2024-02-10 11:12:34,218 DEBUG   HandlerThread:76289 [system_info.py:_save_conda():208] Saving list of conda packages installed into the current environment
2024-02-10 11:12:34,687 INFO    Thread-61 :76289 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/lihongxuan/Desktop/AIPI/Courses/AIPI540/AIPI-540/classifier/wandb/run-20240210_111229-kclksitw/files/conda-environment.yaml
2024-02-10 11:12:39,663 INFO    StreamThr :76289 [internal.py:wandb_internal():86] W&B internal server running at pid: 76289, started at: 2024-02-10 11:12:39.660997
2024-02-10 11:12:39,665 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status
